crossover_count,replicated_ge3_crossover_count,mean_spearman_distance_vs_kendall_tau
553.0,11.0,-0.07966328651731802
560.0,8.0,-0.11409088040336093
571.0,24.0,0.04253148371389063
560.0,12.0,0.0005129592558657595
533.0,12.0,-0.128748565952866
571.0,18.0,0.05763108335772004
536.0,10.0,-0.013079916647168746
568.0,19.0,-0.021816401805366634
607.0,18.0,-0.32963557634837154
526.0,8.0,-0.00577662082004028
506.0,10.0,-0.10724359204784686
558.0,5.0,0.01824056406446513
572.0,14.0,0.16615852409045864
533.0,10.0,0.15209509430937637
498.0,10.0,0.06960610717078261
552.0,12.0,0.11612481298132561
601.0,13.0,0.04545704358920189
536.0,9.0,-0.0448783812739468
616.0,19.0,-0.1566173512605826
524.0,9.0,0.10130091305028646
509.0,14.0,-0.13369826522989625
591.0,21.0,0.13231939600434708
583.0,11.0,-0.194461703517538
524.0,10.0,-0.25666885128948413
573.0,16.0,0.07384327241012661
478.0,10.0,0.005975692141555945
572.0,14.0,0.05932754955144527
537.0,9.0,-0.17928429409159657
543.0,17.0,-0.30243948023113193
562.0,10.0,-0.12343649940006494
568.0,12.0,-0.11405280567542589
543.0,7.0,0.07448326904591271
497.0,14.0,0.034086534802698895
526.0,10.0,-0.006390292831096812
523.0,17.0,-0.17689132222794163
569.0,7.0,-0.2444226934331325
559.0,22.0,-0.3102048150761725
558.0,11.0,-0.0893950738941389
556.0,14.0,-0.2334685641837222
555.0,12.0,0.012829018967697333
522.0,5.0,0.11894635233472123
517.0,10.0,-0.043160014906242626
584.0,18.0,-0.044002377699303236
577.0,16.0,-0.17496003128847262
530.0,11.0,-0.07301288381497158
584.0,8.0,0.043438040588066315
562.0,14.0,0.17743276836978975
581.0,25.0,-0.000915524309529599
553.0,7.0,-0.028515147156839536
490.0,2.0,0.05819575924506043
569.0,8.0,0.13463296458814225
553.0,12.0,-0.08127507836925826
553.0,11.0,0.14059173468676978
544.0,6.0,0.12679029124825508
574.0,11.0,-0.08882678373562808
523.0,14.0,-0.00970541083833212
544.0,11.0,-0.09395379237966972
496.0,8.0,0.10547377674331623
504.0,5.0,0.003264336985872685
576.0,3.0,-0.025231533338950438
520.0,14.0,0.12843300179330797
543.0,8.0,-0.02975674480207542
484.0,5.0,-0.03738339742173278
534.0,8.0,-0.18268242440571658
530.0,9.0,0.10474103689954838
528.0,7.0,-0.024789987691553106
514.0,12.0,-0.09037150139133536
580.0,16.0,-0.05151309980205057
499.0,11.0,-0.09230868485417985
493.0,14.0,0.12158545559422268
559.0,11.0,-0.06959434665336836
539.0,17.0,0.11356780248680048
531.0,23.0,0.04686907771920772
538.0,10.0,0.14975521306778267
521.0,12.0,0.04580937471670625
563.0,16.0,-0.012471929990116978
564.0,11.0,-0.02629817761512377
539.0,10.0,-0.03666149340067584
537.0,13.0,-0.05755623484110094
536.0,8.0,-0.31553252857348635
601.0,12.0,-0.12623395836526727
534.0,14.0,0.05724858167510533
503.0,7.0,0.06412115298807276
507.0,11.0,0.10995636831409693
590.0,20.0,-0.06408189084455332
556.0,12.0,-0.04423684179570271
533.0,12.0,-0.19829232877864458
512.0,17.0,0.07391193894553687
560.0,23.0,0.028619998043272157
