battery,cycle,source_file,local_cycle,start_time,capacity_Ah,SOH,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,cc_steps,cv_steps,discharge_steps,n_points,SOH_initial
CS2_37,1,CS2_37_8_17_10.xlsx,1,2010-08-16 13:45:16,1.134949298415517,1.0317720894686517,4.056897667784754,0.5428010287289483,0.9013930396948844,1.050478995313961,3.561479593344628,3.599999999999987,6701.0,2330.0,2,4,7,1087,1.0
CS2_37,2,CS2_37_8_18_10.xlsx,1,2010-08-17 14:31:15,1.124785829842142,1.0225325725837655,3.9818848285407005,0.5251802393605142,0.91164932963467,1.0501013125984284,3.516434804629129,3.604999999999987,6585.0,2251.0,2,4,7,382,0.991045002109289
CS2_37,3,CS2_37_8_19_10.xlsx,1,2010-08-18 10:59:40,1.124491639011213,1.0222651263738298,3.9776083068447883,0.5222964345537217,0.9134542278925191,1.0514462613456697,3.5243441594853238,3.604999999999987,6581.0,2240.0,2,4,7,382,0.990785791560113
CS2_37,4,CS2_37_8_30_10.xlsx,1,2010-08-19 14:22:00,1.123766125639083,1.0216055687628025,3.9766183015489664,0.5195465381902076,0.9135841557290828,1.049716186130174,3.5343080426348905,3.604999999999987,6579.0,2231.0,2,4,7,382,0.9901465441742229
CS2_37,5,CS2_37_8_30_10.xlsx,2,2010-08-19 17:57:20,1.1198541975289837,1.0180492704808943,3.964015454931352,0.5228359732188719,0.9149706983560394,1.0548216839504152,3.6577435246906047,3.609999999999987,6574.0,2257.0,2,4,7,380,0.9866997575066946
CS2_37,6,CS2_37_8_30_10.xlsx,3,2010-08-19 21:32:48,1.1186724627226,1.0169749661114544,3.9819759625804485,0.48843970893627553,0.9187354778119029,1.0512649357576527,3.6844815719710775,3.614999999999987,6610.0,2078.0,2,4,7,381,0.9856585349533756
CS2_37,7,CS2_37_8_30_10.xlsx,4,2010-08-20 01:05:49,1.112531313746255,1.0113921034056863,3.978963851796039,0.4799825544540247,0.9158423804955694,1.0400430624513077,3.3709551312563644,3.614999999999987,6607.0,2038.0,2,4,7,381,0.9802475892971083
CS2_37,8,CS2_37_8_30_10.xlsx,5,2010-08-20 04:37:47,1.1004064716213104,1.0003695196557367,3.9221056391149047,0.5051250934508513,0.9094335876272193,1.0312901117996351,3.4747753693913883,3.604999999999987,6505.0,2156.0,2,4,7,375,0.9695644317834893
CS2_37,9,CS2_37_8_30_10.xlsx,6,2010-08-20 08:09:22,1.0961624709426232,0.9965113372205665,3.8880493004481025,0.5034371150860922,0.9134796541688455,1.0272069542255486,3.459113671987098,3.609999999999987,6445.0,2149.0,2,4,7,374,0.9658250570954637
CS2_37,10,CS2_37_8_30_10.xlsx,7,2010-08-20 11:39:36,1.092880408995522,0.9935276445413835,3.874051336968706,0.5019032554406943,0.9141060563180307,1.0248051438511725,3.446365617005971,3.609999999999987,6421.0,2139.0,2,4,7,372,0.9629332433803637
