feature_group,permutation,null_statistic
Group_CC,0,0.22169625821318228
Group_CC,1,0.20459178606709205
Group_CC,2,0.21188183001234231
Group_CC,3,0.29467386124471173
Group_CC,4,0.39885192877865977
Group_CC,5,0.14657053844176912
Group_CC,6,0.1748243501800029
Group_CC,7,0.21253945115931103
Group_CC,8,0.3324265416531733
Group_CC,9,0.18455754569263494
Group_CC,10,0.2303262944706244
Group_CC,11,0.1658308185534463
Group_CC,12,0.303161337442532
Group_CC,13,0.3126476430398786
Group_CC,14,0.19263300673357428
Group_CC,15,0.2661887659529392
Group_CC,16,0.1832145537571401
Group_CC,17,0.26108352144394614
Group_CC,18,0.2977243272467345
Group_CC,19,0.3421555130426666
Group_CC,20,0.265278906925555
Group_CC,21,0.25240745690625
Group_CC,22,0.16645428995228012
Group_CC,23,0.18170376940552357
Group_CC,24,0.2870865333867468
Group_CC,25,0.26998735774794835
Group_CC,26,0.12883691295664632
Group_CC,27,0.2571628976169866
Group_CC,28,0.22042596506079914
Group_CC,29,0.29119560208618056
Group_CC,30,0.27287366330127666
Group_CC,31,0.2496362218251844
Group_CC,32,0.13699083247731128
Group_CC,33,0.1973718119469077
Group_CC,34,0.1964702716252631
Group_CC,35,0.37175968483791666
Group_CC,36,0.28275076305443053
Group_CC,37,0.2534465528185998
Group_CC,38,0.336520251144765
Group_CC,39,0.20816684689339707
Group_CC,40,0.31438046967253835
Group_CC,41,0.17089003678133766
Group_CC,42,0.18198710085471548
Group_CC,43,0.24338447890479387
Group_CC,44,0.2605744085183403
Group_CC,45,0.18861548534314068
Group_CC,46,0.22174963023311967
Group_CC,47,0.11705511933640513
Group_CC,48,0.16101548820338824
Group_CC,49,0.29274507342452355
Group_CC,50,0.2033020702833549
Group_CC,51,0.27386048169684846
Group_CC,52,0.21654069902490197
Group_CC,53,0.33363404506761757
Group_CC,54,0.10555359203321676
Group_CC,55,0.3048340117728885
Group_CC,56,0.2294791291636345
Group_CC,57,0.16182621276654535
Group_CC,58,0.23167117551098682
Group_CC,59,0.30163163408078814
Group_CC,60,0.25202927531447444
Group_CC,61,0.3418970304561588
Group_CC,62,0.2820631972211173
Group_CC,63,0.3107405579652589
Group_CC,64,0.2424879775109794
Group_CC,65,0.32233344467483815
Group_CC,66,0.16092410375250377
Group_CC,67,0.2342363320102503
Group_CC,68,0.24535157134668947
Group_CC,69,0.2745054426847282
Group_CC,70,0.2376679442076255
Group_CC,71,0.2726073992038969
Group_CC,72,0.1689524589347809
Group_CC,73,0.15892641529143517
Group_CC,74,0.19666028092999052
Group_CC,75,0.3173293190147147
Group_CC,76,0.289134830344188
Group_CC,77,0.2257657718637547
Group_CC,78,0.07212825731070525
Group_CC,79,0.3074356279580965
Group_CC,80,0.2747762105886188
Group_CC,81,0.25406204815526756
Group_CC,82,0.2721040824564207
Group_CC,83,0.41593065103354765
Group_CC,84,0.2892775659758352
Group_CC,85,0.20908733159897905
Group_CC,86,0.15586051802549364
Group_CC,87,0.282664366500755
Group_CC,88,0.24768244364499234
Group_CC,89,0.25405382271534716
Group_CC,90,0.19767672228009067
Group_CC,91,0.2738499259458517
Group_CC,92,0.25982361712904684
Group_CC,93,0.16149764620635165
Group_CC,94,0.2869800412017344
Group_CC,95,0.4067155179138379
Group_CC,96,0.41437392004403173
Group_CC,97,0.1630791145303652
Group_CC,98,0.14394450705883474
Group_CC,99,0.27076784035480433
Group_CC,100,0.15728073349369862
Group_CC,101,0.22117291823478347
Group_CC,102,0.31251025457535575
Group_CC,103,0.24523830247331624
Group_CC,104,0.28199209215773174
Group_CC,105,0.2032650555240373
Group_CC,106,0.390113155232752
Group_CC,107,0.19984506215693046
Group_CC,108,0.12033937958849188
Group_CC,109,0.33667576380332725
Group_CC,110,0.14282626093280584
Group_CC,111,0.20545217731132576
Group_CC,112,0.13859044560232758
Group_CC,113,0.2805061995048912
Group_CC,114,0.15196018039571188
Group_CC,115,0.30597876189077755
Group_CC,116,0.2163722106272985
Group_CC,117,0.18601780744539306
Group_CC,118,0.4146878727843606
Group_CC,119,0.2625570511304029
Group_CC,120,0.16992884955161122
Group_CC,121,0.248344790148801
Group_CC,122,0.12948809379513554
Group_CC,123,0.17941692796515474
Group_CC,124,0.3343713758444623
Group_CC,125,0.3064773985076034
Group_CC,126,0.3229751178693417
Group_CC,127,0.2304051194448054
Group_CC,128,0.3179975613458119
