battery,cycle,current_soh,soh_slope,mean_degradation_rate,recent_degradation_rate,volatility,state_soh_level,dynamics_score,state_degradation_dynamics,normalized_cycle_position,state_cycle_position
CS2_37,1,1.0317720894686515,,,,,Early,,,0.001,Early-life
CS2_37,2,1.0225325725837655,,,,,Early,,,0.002,Early-life
CS2_37,3,1.0222651263738298,,,,,Early,,,0.003,Early-life
CS2_37,4,1.0216055687628025,,,,,Early,,,0.004,Early-life
CS2_37,5,1.0180492704808943,,,,,Early,,,0.005,Early-life
CS2_37,6,1.0169749661114544,,,,,Early,,,0.006,Early-life
CS2_37,7,1.0113921034056863,,,,,Early,,,0.007,Early-life
CS2_37,8,1.0003695196557367,,,0.004486081401844969,,Early,,,0.008,Early-life
CS2_37,9,0.9965113372205664,,,0.003717319337599873,,Early,,,0.009,Early-life
CS2_37,10,0.9935276445413836,,,0.004105354547492311,,Early,,,0.01,Early-life
CS2_37,11,0.9896970536504546,,,0.004558359301763991,,Early,,,0.011,Early-life
CS2_37,12,0.9953798727432556,,,0.003238485391091252,,Early,,,0.012,Early-life
CS2_37,13,0.9972314567691642,,,0.0028205013346128843,,Early,,,0.013,Early-life
CS2_37,14,0.9973874755475522,,,0.0020006611225905795,,Early,,,0.014,Early-life
CS2_37,15,0.9970348780974672,,,0.00047637736546708124,,Early,,,0.015,Early-life
CS2_37,16,0.9966316350249164,,,-1.718540062142385e-05,,Early,,,0.016,Early-life
CS2_37,17,0.8999849820738022,,,0.013363237495368782,,Early,,,0.017,Early-life
CS2_37,18,0.9958321627602372,,,-0.0008764441585403793,,Early,,,0.018,Early-life
CS2_37,19,0.9953984980019468,,,-2.6607512416042056e-06,,Early,,,0.019,Early-life
CS2_37,20,0.994648615800548,,,0.0003689772812308962,,Early,,,0.02,Early-life
CS2_37,21,0.9939834394998116,,,0.00048629086396294915,,Early,,,0.021,Early-life
CS2_37,22,0.9933796888538992,,,0.000522169891938286,,Early,,,0.022,Early-life
CS2_37,23,0.992778794225586,,,0.000550405828475764,,Early,,,0.023,Early-life
CS2_37,24,0.9923437502382884,,,-0.013194109737783741,,Early,,,0.024,Early-life
