battery,cycle,current_soh,soh_slope,mean_degradation_rate,recent_degradation_rate,volatility,state_soh_level,dynamics_score,state_degradation_dynamics,normalized_cycle_position,state_cycle_position
CS2_36,1,1.0407403855529054,,,,,Early,,,0.001,Early-life
CS2_36,2,1.0313045421926346,,,,,Early,,,0.002,Early-life
CS2_36,3,1.0308740471946525,,,,,Early,,,0.003,Early-life
CS2_36,4,1.0298812498548062,,,,,Early,,,0.004,Early-life
CS2_36,5,1.027243794778177,,,,,Early,,,0.005,Early-life
CS2_36,6,1.0269473718239237,,,,,Early,,,0.006,Early-life
CS2_36,7,1.0231287392924973,,,,,Early,,,0.007,Early-life
CS2_36,8,1.0143437830470692,,,0.0037709432151194567,,Early,,,0.008,Early-life
CS2_36,9,1.0113709733701717,,,0.0028476526889232696,,Early,,,0.009,Early-life
CS2_36,10,1.009132495279101,,,0.0031059359879359277,,Early,,,0.01,Early-life
CS2_36,11,1.0058885220132432,,,0.003427532548794719,,Early,,,0.011,Early-life
CS2_36,12,1.0106209623310634,,,0.002374690349587657,,Early,,,0.012,Early-life
CS2_36,13,1.0119050417664013,,,0.002148904293931775,,Early,,,0.013,Early-life
CS2_36,14,1.012006939730772,,,0.0015888285088178872,,Early,,,0.014,Early-life
CS2_36,15,1.0118473333466953,,,0.0003566356714819831,,Early,,,0.015,Early-life
CS2_36,16,1.0114635807254626,,,-1.3229622184418588e-05,,Early,,,0.016,Early-life
CS2_36,17,1.011187522269097,,,-0.00029357528428513343,,Early,,,0.017,Early-life
CS2_36,18,1.0109954043762557,,,-0.0007295546232874983,,Early,,,0.018,Early-life
CS2_36,19,1.0104018260784835,,,3.130517893997923e-05,,Early,,,0.019,Early-life
CS2_36,20,1.009712373545581,,,0.00031323831726002915,,Early,,,0.02,Early-life
CS2_36,21,1.0091218668916628,,,0.0004121532627298879,,Early,,,0.021,Early-life
CS2_36,22,1.0085318207371976,,,0.0004736446584996707,,Early,,,0.022,Early-life
CS2_36,23,1.0081544793264414,,,0.00047272877128874083,,Early,,,0.023,Early-life
CS2_36,24,1.0078956666521288,,,0.0004702650881382997,,Early,,,0.024,Early-life
CS2_36,25,1.007139641891047,,,0.0005508232121726701,,Early,,,0.025,Early-life
CS2_36,26,1.006528864308271,,,0.0005532802528874939,,Early,,,0.026,Early-life
CS2_36,27,1.0059947348160814,,,0.0005310912470713866,,Early,,,0.027,Early-life
CS2_36,28,0.996552699591614,,,0.0017955953285784096,,Early,,,0.028,Early-life
CS2_36,29,0.9929302276109132,,,0.002228799018040628,,Early,,,0.029,Early-life
CS2_36,30,0.9908312847695748,,,0.0024747420795523706,,Early,,,0.03,Early-life
CS2_36,31,0.9893333796890016,,,0.002651755280446747,,Early,,,0.031,Early-life
CS2_36,32,0.9874319133128944,-0.0011975605859144986,0.0017196281367745487,0.0028153897968789454,0.002952697378090718,Early,0.002006475191396722,,0.032,Early-life
CS2_36,33,0.994785156011088,-0.0011132706989537239,0.0011780447155337612,0.0016776726138832965,0.003028954557506406,Early,0.0013954716564185102,,0.033,Early-life
CS2_36,34,0.9959875673980824,-0.00106237480371005,0.0011253703160183908,0.0014295953454284297,0.0030564614597914986,Early,0.00124598507456924,,0.034,Early-life
CS2_36,35,0.9872886010588644,-0.0010505625488366362,0.001373956412772317,0.0013234426475356522,0.0033450701752073737,Early,0.0011870025981861442,,0.035,Early-life
CS2_36,36,0.983810518011862,-0.0010485398823796767,0.001401073444074675,0.0013028156570073105,0.0033590323953790542,Early,0.0011756777696934936,,0.036,Early-life
