battery,file,data_sheet,fields,has_required_fields,status
CS2_35,CS2_35_10_15_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_10_22_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_10_29_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_11_01_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_11_08_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_11_23_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_11_24_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_12_06_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_12_13_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_12_20_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_12_23_10.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_1_10_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_1_18_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_1_24_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_1_28_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_2_10_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
CS2_35,CS2_35_2_4_11.xlsx,Channel_1-008,"[""Data_Point"", ""Test_Time(s)"", ""Date_Time"", ""Step_Time(s)"", ""Step_Index"", ""Cycle_Index"", ""Current(A)"", ""Voltage(V)"", ""Charge_Capacity(Ah)"", ""Discharge_Capacity(Ah)"", ""Charge_Energy(Wh)"", ""Discharge_Energy(Wh)"", ""dV/dt(V/s)"", ""Internal_Resistance(Ohm)"", ""Is_FC_Data"", ""AC_Impedance(Ohm)"", ""ACI_Phase_Angle(Deg)""]",True,ok
